violationCounty,violationCode,count
BX,74,89964
BX,91,714
,38,1091
K,51,70969
NY,70,202803
NY,40,565325
NY,14,2166237
NY,16,501792
NY,20,1352287
,21,24060
,14,18625
,82,34
,20,9439
,19,9942
,84,654
NY,46,1247144
NY,10,203457
NY,38,1221187
NY,24,70456
K,62,5906
ST,45,331
Q,20,621984
Q,74,141766
Q,24,25567
Q,14,586729
NY,17,228108
BX,40,386161
BX,46,446644
K,17,78013
,46,31933
NY,21,1224432
Q,66,48577
,66,1164
Q,41,2194
NY,62,4713
BX,20,377076
BX,71,319938
NY,19,441529
Q,19,284408
NY,74,145398
,17,3552
NY,67,4545
,24,907
NY,1,3108
,40,13951
ST,40,36623
K,46,380293
K,14,684198
K,98,64528
,67,1864
NY,98,9586
NY,51,58079
K,20,561354
Q,70,373734
BX,14,255019
BX,19,149900
Q,62,5580
BX,17,42672
NY,71,370055
ST,14,47784
K,40,681863
K,34,21
,27,507
K,67,12193
NY,41,4460
NY,31,585299
K,24,43668
Q,27,6858
Q,37,669654
Q,17,42968
Q,68,12066
Q,46,189085
NY,47,468548
NY,53,93479
NY,84,317034
NY,48,187979
Q,40,482888
Q,78,70431
ST,62,1374
ST,24,2321
ST,71,144941
Q,98,65437
Q,10,10597
,10,489
,68,266
Q,67,10831
Q,71,621438
Q,21,1480606
BX,98,31717
Q,51,73538
Q,75,11926
,41,1394
K,41,4328
K,21,2774304
K,50,93489
K,83,2954
Q,16,98568
BX,70,174332
BX,24,30761
BX,67,8535
BX,52,1516
BX,21,998766
BX,50,66865
,16,1006
K,78,59374
Q,50,113301
,50,2346
K,70,323747
ST,98,3923
Q,77,16530
Q,83,3923
ST,50,4272
ST,20,25103
K,19,272527
BX,68,7283
BX,99,2092
ST,19,11487
K,71,589550
NY,50,88085
Q,9,28722
NY,45,30879
,71,2221
,31,916
ST,70,75925
ST,41,308
,34,16
,74,2296
NY,18,98474
BX,41,2275
,70,1538
BX,27,2636
,62,343
K,9,14434
NY,34,26
NY,37,759164
NY,13,75245
ST,74,28099
ST,17,2648
ST,27,3503
BX,51,38811
,51,1922
NY,26,4951
NY,68,4946
NY,27,1298
NY,69,846603
,69,182
,48,1585
NY,42,232667
,37,1937
K,45,1648
ST,48,1089
K,48,50641
K,16,178093
K,37,313310
ST,99,710
BX,16,38251
K,60,4970
K,18,10843
,78,4351
K,99,1641
K,38,1191548
NY,29,88
NY,75,6104
K,85,5874
K,74,111744
ST,16,1072
BX,78,32696
ST,67,1363
NY,99,2742
Q,99,2880
,99,615
,97,47
,98,11459
Q,80,2684
Q,97,190
NY,61,5136
NY,11,38164
NY,83,8980
Q,45,1869
BX,75,9462
BX,66,44115
K,75,7051
NY,79,26468
,79,1847
K,68,88794
K,61,7739
K,10,14411
,53,326
K,53,22077
NY,60,4487
BX,62,3155
Q,53,27017
ST,63,698
ST,77,276
BX,96,40
Q,63,2832
BX,83,5769
,83,294
Q,60,6638
NY,39,2734
BX,45,2347
,45,1432
ST,51,6719
Q,58,42
K,27,4425
NY,54,20970
NY,73,10437
,60,176
BX,60,5118
BX,80,7048
NY,78,29860
K,77,17879
K,66,29739
K,80,3966
K,84,7305
K,49,388
K,72,3498
K,54,143
K,76,117
ST,46,5917
K,65,29
,80,169
NY,28,7
K,6,777
NY,9,151019
NY,91,64
NY,72,9249
NY,63,327
,63,94
Q,91,1571
Q,85,47921
NY,97,158
ST,78,3993
Q,61,22773
Q,73,4579
,18,1569
BX,84,12488
BX,85,11768
K,58,20
NY,64,47324
K,23,992
K,88,9
BX,38,543113
K,63,64
NY,58,21
NY,80,677
NY,52,1520
NY,57,6
NY,77,14869
Q,93,21
K,4,38
,85,456
ST,61,3528
BX,63,1236
Q,48,28427
ST,83,582
ST,53,1193
ST,68,6078
ST,58,4
ST,60,165
K,91,325
NY,85,4645
Q,38,1347485
Q,23,9393
K,26,332
Q,6,1432
BX,23,1725
NY,23,23667
BX,61,6639
BX,9,27584
BX,53,16211
BX,48,54149
ST,66,1850
NY,4,2995
NY,8,12913
BX,10,2975
ST,9,106
,15,4
Q,2,34
,91,159
Q,52,763
Q,29,43
,9,798
K,35,36
K,11,1982
Q,96,119
K,73,3349
BX,54,184
BX,49,792
BX,13,2427
BX,31,46
BX,59,153
BX,72,12353
,42,17
Q,84,23944
Q,72,34720
ST,37,21356
ST,38,82482
,75,140
NY,49,1412
NY,15,30
,47,2195
NY,82,91044
NY,43,512
K,13,3069
Q,76,234
,6,199
ST,85,434
ST,80,137
NY,89,12699
ST,10,578
BX,18,10290
ST,4,10
K,52,592
ST,75,1199
ST,65,7
ST,79,62
ST,29,2
BX,2,5
BX,65,81
BX,58,13
Q,56,1107
K,79,517
NY,5,191910
Q,65,102
NY,66,8394
BX,73,1615
BX,90,50
BX,93,8
BX,6,3788
Q,82,17353
K,97,49
K,92,37
,55,12
ST,21,1197
Q,28,2
Q,22,1167
NY,56,57
Q,31,20543
,61,173
,72,30
K,55,136
K,31,1691
,49,21
K,56,1508
ST,39,3671
ST,96,169
ST,90,1
ST,44,6
ST,72,327
Q,92,44
Q,59,104
Q,55,32
Q,33,1816
Q,79,736
Q,13,9118
Q,90,91
Q,88,35
Q,35,41
,4,26
Q,57,13
Q,42,729
Q,4,18
Q,18,9680
Q,86,8
Q,49,182
NY,35,11386
NY,12,12627
,77,170
ST,47,36
,64,266
BX,37,228393
K,29,33
BX,55,47
NY,25,26
K,59,78
K,82,9239
K,90,73
BX,56,40
BX,4,12
Q,12,11
Q,5,104985
Q,39,2278
,13,61
ST,91,52
NY,33,3163
,12,8
NY,59,573
NY,30,2143
BX,92,32
BX,77,3748
BX,86,7
ST,52,17
,56,27
ST,18,1877
ST,6,31
,92,13
K,7,624242
K,33,2114
BX,44,3
BX,82,7903
K,47,72
,43,11
K,43,5
K,96,77
K,93,14
BX,25,13
BX,26,22
,86,7
,25,4
Q,25,919
K,64,12
BX,97,26
BX,15,4
BX,28,1
NY,96,40
BX,89,10
NY,2,760
NY,81,534
NY,22,9314
NY,65,49
NY,92,12
NY,90,11
ST,73,80
ST,31,32
ST,49,16
K,86,22
NY,3,2825
,2,43
,30,124
,3,181
,1,124
Q,69,6293
NY,7,104525
,76,2
K,12,9
NY,55,140
,52,44
BX,79,126
BX,3,6
BX,8,71
ST,92,6
ST,86,1
ST,35,6
NY,76,356
Q,47,51
,39,22
K,39,1396
K,25,97
K,89,17
K,5,256770
,8,122
NY,93,7
,59,8
K,42,61
,28,2
ST,42,7
ST,64,11
NY,32,43
,35,13
,58,2
,11,25
Q,64,20
BX,47,21
K,3,36
K,8,274
K,15,17
K,30,70
K,22,200
Q,15,10
BX,34,21
,23,28
BX,57,1
K,1,32
ST,3,2
ST,89,1
K,57,20
ST,97,7
ST,56,49
ST,82,1570
BX,88,15
,7,6656
BX,29,22
Q,81,10
NY,6,10
ST,34,8
BX,64,19
NY,86,50
,22,6
,26,15
NY,87,1864
,96,31
NY,44,266
BX,76,261
BX,32,8
BX,69,1453
K,2,12
,65,8
K,28,2
Q,8,466
BX,1,6
BX,5,207995
,90,18
ST,1,4
Q,11,614
K,69,632
,73,8
,89,4
K,36,2847233
K,81,5
ST,15,3
ST,8,14
Q,30,74
BX,33,669
PBX,71,1
BX,81,3
,88,4
BX,43,15
K,32,11
Q,3,50
Q,1,14
K,44,7
NY,36,273542
Q,34,24
,81,9
BX,12,7
BX,35,24
Q,89,4
,87,1
,29,6
Q,43,23
,5,3
ST,30,20
ST,2,1
BX,30,57
BX,39,1570
BX,87,103
Q,26,85
ST,36,498996
ST,84,146
Q,87,211
ST,55,2
,33,6
"K   F",67,1
,57,2
,54,18
ST,5,7570
ST,26,1
ST,13,3
,32,2
BX,22,239
BX,42,39
,44,2
ST,59,1
P,14,1
ST,33,19
ST,23,4
ST,25,4
Q,44,2
ST,88,1
BX,11,89
Q,54,27
ST,54,2
K,87,241
USA,16,1
Q,36,2363501
BX,36,1025985
,36,2
Q,7,727191
ST,7,150964
BX,7,211111
ST,22,1
0152P,7,1
Q,32,21
0117P,8,1
1109A,9,1
0318P,7,1
1200P,7,1
ST,69,220
ST,12,1
ST,76,1
